date,region,city,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,cereals and tubers,Bread,KG,actual,Retail,ILS,2.5,0.7934
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,cereals and tubers,Potatoes (medium size),KG,actual,Retail,ILS,1.94,0.6157
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,cereals and tubers,"Rice (small grain, imported)",25 KG,actual,Retail,ILS,152.31,48.3351
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,cereals and tubers,Wheat flour (locally processed),50 KG,actual,Retail,ILS,90.0,28.5612
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs",Eggs,2 KG,actual,Retail,ILS,11.72,3.7193
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs",Fish (frozen),KG,actual,Retail,ILS,11.33,3.5955
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs",Meat (beef),KG,actual,Retail,ILS,38.5,12.2178
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,ILS,14.85,4.7126
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs","Meat (goat, with bones)",KG,actual,Retail,ILS,54.56,17.3144
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Cheese (goat),KG,actual,Retail,ILS,16.57,5.2584
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Labaneh,500 G,actual,Retail,ILS,7.06,2.2405
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Milk (pasteurized),KG,actual,Retail,ILS,6.0,1.9041
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Milk (powder),2.5 KG,actual,Retail,ILS,83.67,26.5524
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Yogurt,500 G,actual,Retail,ILS,5.89,1.8692
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,miscellaneous food,Salt,KG,actual,Retail,ILS,1.5,0.476
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,miscellaneous food,Sugar,KG,actual,Retail,ILS,2.96,0.9393
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,miscellaneous food,Tea,KG,actual,Retail,ILS,12.25,3.8875
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,non-food,Fuel (petrol-gasoline),L,actual,Retail,ILS,6.21,1.9707
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,non-food,Water (drinking),Cubic meter,actual,Retail,ILS,1.48,0.4697
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,oil and fats,Oil (maize),3 L,actual,Retail,ILS,26.92,8.543
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,oil and fats,Oil (olive),KG,actual,Retail,ILS,30.0,9.5204
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,pulses and nuts,Chickpeas,KG,actual,Retail,ILS,5.22,1.6565
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,pulses and nuts,Lentils,KG,actual,Retail,ILS,5.63,1.7867
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,Apples (red),KG,actual,Retail,ILS,4.59,1.4566
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,Bananas (medium size),KG,actual,Retail,ILS,3.02,0.9584
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,Cauliflower,KG,actual,Retail,ILS,2.3,0.7299
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,ILS,3.58,1.1361
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,"Onions (dry, local)",KG,actual,Retail,ILS,2.23,0.7077
2022-01-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,Tomatoes (greenhouse),KG,actual,Retail,ILS,2.84,0.9013
2022-02-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,cereals and tubers,Bread,KG,actual,Retail,ILS,2.5,0.7788
2022-02-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,cereals and tubers,Potatoes (medium size),KG,actual,Retail,ILS,1.61,0.5016
2022-02-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,cereals and tubers,"Rice (small grain, imported)",25 KG,actual,Retail,ILS,145.23,45.243
2022-02-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,cereals and tubers,Wheat flour (locally processed),50 KG,actual,Retail,ILS,92.0,28.6604
2022-02-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs",Eggs,2 KG,actual,Retail,ILS,12.57,3.9159
2022-02-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs",Fish (frozen),KG,actual,Retail,ILS,11.17,3.4798
2022-02-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs",Meat (beef),KG,actual,Retail,ILS,39.7,12.3676
2022-02-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,ILS,16.47,5.1308
2022-02-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs","Meat (goat, with bones)",KG,actual,Retail,ILS,53.89,16.7882
2022-02-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Cheese (goat),KG,actual,Retail,ILS,16.57,5.162
2022-02-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Labaneh,500 G,actual,Retail,ILS,7.38,2.2991
2022-02-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Milk (pasteurized),KG,actual,Retail,ILS,6.0,1.8692
2022-02-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Milk (powder),2.5 KG,actual,Retail,ILS,84.61,26.3583
2022-02-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Yogurt,500 G,actual,Retail,ILS,6.05,1.8847
2022-02-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,miscellaneous food,Salt,KG,actual,Retail,ILS,1.3,0.405
2022-02-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,miscellaneous food,Sugar,KG,actual,Retail,ILS,2.91,0.9065
